id,name,city,shelter_status,years_homeless,family_size,monthly_support_usd,education_level,notes
1,   peter,NEW-YORK,shelter,6,1,186,NONE,seeking healthcare access
2, joseph ,boston,street,10,2,366,NONE,job loss during pandemic
3,JOHN,chicago,unsheltered,10,4,422,NONE,mental health issues
4,DAVID,CHICAGO.,STREET,14,3,3,NONE,seeking healthcare access
5, joseph ,san-francisco,SHELTERED,2,5,37,higher,displaced by violence in 2020
6,sofia,L.A.,"shelter , pending",9,5,552,NONE,chronic homelessness since 2015
7,   peter,L.A.,unsheltered,11,4,594,secondary,speaks spanish ; works part-time
8,lucAS,san-francisco,temporary shelter,8,2,25,primary,mental health issues
9,sofia,boston,Shelter,13,1,74,primary,speaks spanish ; works part-time
10,MIGUEL,SF,unsheltered,5,5,381,none,lost JOB; looking for work
11,MIGUEL,CHICAGO.,unsheltered,9,5,195,higher,lost JOB; looking for work
12,DAVID,chicago,unsheltered,1,5,582,secondary,seeking healthcare access
13,JOHN,CHICAGO.,STREET,5,4,291,secondary,chronic homelessness since 2015
14, joseph ,SF,unsheltered,7,4,204,PRIMARY,seeking healthcare access
15,lucAS,NEW-YORK,Shelter,14,4,579,NONE,speaks spanish ; works part-time
16,JOHN,CHICAGO.,"shelter , pending",10,4,286,PRIMARY,seeking healthcare access
17, joseph ,los Angeles,unsheltered,12,1,273,higher,war refugee background
18,   peter,New york,street,7,1,409, None,addiction history; no family
19,  anna ,new-york,street,14,1,536,NONE,chronic homelessness since 2015
20,DAVID,SF,Shelter,8,2,546,secondary,addiction history; no family
21,lucAS,boston,unsheltered,9,5,84,none,with kids; schooling interrupted
22,DAVID,SF,"shelter , pending",12,5,350,higher,mental health issues
23,  anna ,SF,shelter,11,2,52, None,speaks spanish ; works part-time
24,   peter,CHICAGO.,street,1,2,452,PRIMARY,addiction history; no family
25,sofia,san-francisco,unsheltered,7,5,595,none,lost JOB; looking for work
26,lucAS,New york,street,6,3,110,SECONDARY ,war refugee background
27,JOHN,SF,SHELTERED,9,2,464,none,displaced by violence in 2020
28,sofia,SF,unsheltered,6,2,370, None,with kids; schooling interrupted
29,JOHN,New york,"shelter , pending",10,3,407,higher,chronic homelessness since 2015
30,chloe.,New york,Shelter,11,2,59,higher,addiction history; no family
